time,user_name,user_color,message
72,shioris_gymbag,#E1A520,"nweroJam EDM SadDance EDM nweroJam EDM SadDance nweroJam EDM SadDance EDM nweroJam EDM SadDance nweroJam EDM SadDance EDM nweroJam EDM SadDance nweroJam EDM SadDance EDM nweroJam EDM SadDance"
72,fleshwretch,#6E6161,"jah"
72,kelo_the_green_minstrel,#008000,"EDM RaveTime jah lerolero0 EDM RaveTime"
72,lordsadl,,"LETSGO Neuro stream"
72,emperorgabeallfor1,,"NEURO ONLINE"
73,themybrick,#FF0000,"TheMybrick subscribed with Prime. They've subscribed for 2 months, currently on a 1 month streak! "
73,guroo_,#0000FF,"jah u e u a a EDM jah u e u a a EDM jah u e u a a EDM jah u e u a a EDM jah u e u a a EDM"
73,treborlo,,"vedalCheer vedalCheer vedalCheer vedalCheer vedalCheer vedalCheer"
73,hyaenhyaen,,"PogChamp"
73,ciphvrii,#FF4500,"Shiza"
73,lexi_the_bat,#1E90FF,"henyaDance henyaDance henyaDance"
74,trey5498,#705959,"trey5498 subscribed at Tier 1. They've subscribed for 12 months, currently on a 12 month streak! ITS NEURO TIME!!!"
74,mirelurkking,#00FF7F,"Pog"
75,shocker_alex,,"neuroOnline"
75,hangman96_hs,#0000FF,"neuroOnline"
75,waluuuuuuuuu,,"Ssup nu"
75,lle0o0,#DAA520,"neuroOnline"
75,kinnay007,#1E90FF,"neuroOnline"
76,brooms17,#008000,"HI NEURO"
76,cherry_3311,#A1E3FF,"newero nu"
76,everydaycola1,#EE5CEC,"Everydaycola1 subscribed at Tier 1. They've subscribed for 20 months! nu"
77,lordsadl,,"neuroOnline"
77,tarrybicycle113,#1E90FF,"neuroOnline"
77,schpatz,#008000,"vedalWave"
78,shinigamiways,#8A2BE2,"burkeDumpy burkeDumpy burkeDumpy burkeDumpy burkeDumpy"
78,acube_xd,#FF69B4,"vedalDance vedalCheer vedalDance vedalCheer vedalDance"
79,theindecisiveone_,,"vedalCheer vedalCheer vedalCheer"
79,dumb_lil_human,#FF0000,"vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer vedalEvilCheer vedalCheer vedalEvilCheer"
79,blubard02,#0000FF,"NU"
80,czadymny,#FF0000,"jah u e u a a EDM jah u e u a a EDM jah u e u a a EDM jah u e u a a EDM jah u e u a a EDM"
80,websu3333,#DAA520,"vedalCheer vedalCheer vedalCheer vedalCheer"
80,yurithetabaxi,#FF7F50,"neuroOnline"
81,newiqq,#FF4500,"uuu iii"
81,myk0ll,#B400FF,"nweroJam EDM SadDance EDM nweroJam EDM SadDance nweroJam EDM SadDance EDM nweroJam EDM SadDance nweroJam EDM SadDance EDM nweroJam EDM SadDance nweroJam EDM SadDance EDM nweroJam EDM SadDance"
81,dakkireads,,"hurray"
81,lordsadl,,"Listening"
81,winiwinton,#2E8B57,"neuroJAM lerolero0"
82,tada_no_tetsusabi,#8A2BE2,"neuroOnline"
